employee_id,name,gender,user_type,sign_in_date,sign_in_time,sign_out_time,ip_address,connection_status,job_position,phone,email
65893,Joseph Ortiz,Male,Employee,2024-08-11,05:53:01,13:47:33,218.5.6.195,Failed,Manager,+216 36400041,joseph.ortiz@example.com
6348,Rachel Wright,Female,Admin,2024-02-22,09:50:37,09:07:40,155.29.39.61,Failed,Analyst,+216 49345877,rachel.wright@example.com
62563,James Allen,Male,Employee,2024-01-14,18:56:16,17:28:35,123.115.184.154,Failed,Developer,+216 58618374,james.allen@example.com
92952,Stephen Warren,Male,Employee,2024-07-19,06:20:32,12:29:47,213.4.221.228,Success,HR,+216 28480236,stephen.warren@example.com
76207,Melanie Mcgee,Female,Employee,2024-07-23,22:36:12,13:21:35,20.14.130.252,Success,HR,+216 26863688,melanie.mcgee@example.com
10714,Adam Burgess,Male,Admin,2024-04-11,22:10:59,11:19:37,177.183.149.164,Success,Analyst,+216 64129330,adam.burgess@example.com
59062,Michelle Prince,Female,Employee,2024-03-09,00:36:31,05:21:34,76.198.94.58,Failed,Developer,+216 25554842,michelle.prince@example.com
18261,Karen Phillips,Female,Employee,2024-04-27,15:09:34,16:01:04,121.86.219.83,Success,HR,+216 68493363,karen.phillips@example.com
69695,Paula Hunter,Female,Employee,2024-07-07,20:53:57,03:27:21,144.104.25.47,Success,Developer,+216 80347103,paula.hunter@example.com
28387,Todd Lopez,Male,Employee,2024-06-08,12:19:09,18:01:33,210.207.90.17,Success,Analyst,+216 09243675,todd.lopez@example.com
22569,Adrian Schmidt,Male,Employee,2024-07-23,03:00:17,13:15:18,142.130.30.126,Failed,Analyst,+216 27299869,adrian.schmidt@example.com
4109,Matthew Wong,Male,Employee,2024-04-14,12:42:14,04:19:34,193.169.66.114,Success,HR,+216 93052547,matthew.wong@example.com
98913,Christopher Rodriguez,Male,Admin,2024-06-05,23:35:30,06:19:10,191.110.208.194,Failed,Analyst,+216 29621912,christopher.rodriguez@example.com
55806,Deborah Glover,Female,Admin,2024-05-12,11:08:29,22:53:53,40.252.249.107,Failed,Analyst,+216 90216670,deborah.glover@example.com
29506,Amber Gutierrez,Female,Employee,2024-02-08,20:20:33,18:03:42,2.130.42.34,Failed,HR,+216 46680782,amber.gutierrez@example.com
11702,Kenneth Roberts,Male,Employee,2024-02-03,07:17:09,20:24:29,200.6.148.59,Failed,Manager,+216 10422821,kenneth.roberts@example.com
75806,Paul Miller,Male,Employee,2024-02-02,01:53:53,10:05:07,7.104.47.151,Success,Manager,+216 88115766,paul.miller@example.com
52377,Sandra Dixon,Female,Employee,2024-06-18,04:05:16,01:28:33,207.208.209.49,Success,HR,+216 91184945,sandra.dixon@example.com
81571,Julie Reed,Female,Employee,2024-01-10,16:50:15,15:35:23,112.99.125.169,Failed,Manager,+216 39171569,julie.reed@example.com
47015,Andrew Diaz,Male,Employee,2024-02-18,01:31:22,10:03:29,174.77.97.121,Success,Analyst,+216 37520782,andrew.diaz@example.com
3577,Michelle Lutz,Female,Employee,2024-05-02,05:38:16,06:02:03,47.102.73.137,Success,Analyst,+216 69286635,michelle.lutz@example.com
48767,Terri Allen,Female,Employee,2024-06-10,14:47:38,13:17:16,102.185.224.207,Success,Manager,+216 48289177,terri.allen@example.com
11638,Joshua Conway,Male,Employee,2024-06-06,19:39:35,08:36:47,168.234.170.187,Failed,Manager,+216 65003392,joshua.conway@example.com
55021,Robin Allison,Female,Employee,2024-06-29,20:43:13,06:03:53,37.189.34.80,Success,HR,+216 49874867,robin.allison@example.com
11959,Jonathan Smith,Male,Employee,2024-02-11,02:41:41,06:51:27,205.149.43.39,Failed,Analyst,+216 01419629,jonathan.smith@example.com
29624,Breanna Liu,Female,Employee,2024-06-18,10:51:55,21:04:26,62.180.25.154,Failed,Developer,+216 31262390,breanna.liu@example.com
10690,Stephanie Lyons,Female,Employee,2024-05-31,23:34:39,13:20:35,11.133.18.127,Success,Manager,+216 90622780,stephanie.lyons@example.com
58011,David Banks,Male,Employee,2024-05-28,10:21:26,13:30:23,88.9.74.227,Failed,Manager,+216 58943486,david.banks@example.com
67752,Samuel Baldwin,Male,Employee,2024-01-29,17:23:18,16:09:28,56.246.20.224,Success,Analyst,+216 21475680,samuel.baldwin@example.com
93040,Michelle Carroll,Female,Employee,2024-02-15,07:47:55,12:07:36,61.220.50.163,Success,Manager,+216 63736118,michelle.carroll@example.com
31550,Anna Gray,Female,Employee,2024-07-27,06:03:43,22:35:16,7.115.253.214,Success,Manager,+216 71318293,anna.gray@example.com
88166,Robert Bowman,Male,Employee,2024-03-16,09:21:20,10:19:47,24.213.134.64,Failed,Developer,+216 73830237,robert.bowman@example.com
94456,Timothy Merritt,Male,Employee,2024-06-17,03:02:55,14:57:38,20.155.117.146,Failed,Developer,+216 99132630,timothy.merritt@example.com
19082,Ashley Morris,Female,Employee,2024-04-21,23:05:54,01:03:27,137.236.138.156,Failed,Developer,+216 66602714,ashley.morris@example.com
20361,Kevin Walter,Male,Employee,2024-04-22,14:28:49,17:24:48,87.119.139.26,Success,HR,+216 78620479,kevin.walter@example.com
68213,Andrew Valencia,Male,Employee,2024-05-17,12:32:27,22:23:33,143.144.114.138,Failed,Manager,+216 62319827,andrew.valencia@example.com
18908,Sean Mata,Male,Employee,2024-05-25,10:29:18,03:17:47,92.229.135.227,Success,HR,+216 97949601,sean.mata@example.com
51181,Susan Terrell,Female,Employee,2024-05-29,22:41:23,03:56:57,10.17.20.154,Success,HR,+216 83750469,susan.terrell@example.com
50887,Tammy Evans,Female,Employee,2024-06-18,14:52:40,13:07:02,14.200.42.31,Success,Analyst,+216 52706704,tammy.evans@example.com
25513,Caitlin Smith,Female,Employee,2024-07-15,11:17:38,21:59:53,141.75.192.208,Failed,Manager,+216 48629742,caitlin.smith@example.com
14321,Matthew Graham,Male,Employee,2024-01-21,01:55:03,06:37:45,168.209.253.12,Failed,Analyst,+216 13577256,matthew.graham@example.com
59353,Bonnie Smith,Female,Employee,2024-01-22,16:18:00,00:30:19,3.89.121.107,Failed,HR,+216 04924481,bonnie.smith@example.com
98708,Gail Bradford,Female,Employee,2024-03-09,06:20:00,07:34:17,185.255.192.50,Failed,Analyst,+216 27601015,gail.bradford@example.com
12127,Brian Jensen,Male,Employee,2024-06-24,01:22:33,07:15:43,39.218.86.128,Success,Developer,+216 27427908,brian.jensen@example.com
27349,Dawn Reyes,Female,Employee,2024-04-16,11:03:39,02:14:52,15.145.1.130,Success,Analyst,+216 60969345,dawn.reyes@example.com
97591,Michelle King,Female,Employee,2024-06-08,04:38:35,18:34:44,21.212.185.223,Failed,HR,+216 05794301,michelle.king@example.com
43485,Juan Johnson,Male,Employee,2024-05-04,05:59:16,21:07:21,49.218.41.114,Success,Manager,+216 93172188,juan.johnson@example.com
94036,Natasha Stevenson,Female,Employee,2024-05-06,01:09:57,00:19:58,46.220.121.200,Success,Developer,+216 84101566,natasha.stevenson@example.com
82300,Jessica Roberts,Female,Employee,2024-08-06,12:43:45,20:05:27,138.224.22.117,Success,Analyst,+216 94785469,jessica.roberts@example.com
40679,Austin Perez,Male,Employee,2024-07-26,18:07:33,18:46:11,114.221.33.142,Failed,HR,+216 22711290,austin.perez@example.com
89007,Jessica Reynolds,Female,Employee,2024-06-22,07:12:06,03:16:58,34.17.79.79,Failed,HR,+216 27211744,jessica.reynolds@example.com
8888,Anthony Curtis,Male,Employee,2024-02-05,09:32:57,13:42:19,35.182.70.140,Success,Developer,+216 61600150,anthony.curtis@example.com
77851,Sean Harrison,Male,Employee,2024-08-13,19:55:41,15:17:31,19.175.38.234,Success,HR,+216 11191317,sean.harrison@example.com
95306,Stephen Fernandez,Male,Employee,2024-06-07,08:11:17,20:38:20,220.142.119.32,Failed,HR,+216 80831658,stephen.fernandez@example.com
19986,Larry Horn,Male,Employee,2024-02-29,19:16:53,02:22:17,175.223.9.40,Failed,Manager,+216 00243221,larry.horn@example.com
